"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2021","25,086.0","26,578.0","26,578.0","24,526.0","15.72M","-5.28%"
"06/11/2021","26,298.0","25,179.0","26,858.0","25,086.0","16.33M","4.83%"
"06/14/2021","27,324.0","26,858.0","27,790.0","26,578.0","16.58M","3.90%"
"06/15/2021","26,764.0","27,324.0","27,604.0","26,671.0","14.89M","-2.05%"
"06/16/2021","27,324.0","27,231.0","28,723.0","26,951.0","21.21M","2.09%"
"06/17/2021","27,977.0","27,044.0","28,443.0","26,578.0","16.28M","2.39%"
"06/18/2021","27,883.0","27,231.0","28,070.0","27,044.0","12.38M","-0.34%"
"06/21/2021","28,350.0","27,977.0","29,002.0","27,883.0","12.48M","1.67%"
"06/22/2021","28,443.0","28,536.0","29,655.0","28,443.0","13.58M","0.33%"
"06/23/2021","27,883.0","28,443.0","28,723.0","27,417.0","14.51M","-1.97%"
"06/24/2021","27,510.0","27,977.0","28,256.0","27,417.0","8.41M","-1.34%"
"06/25/2021","28,256.0","27,510.0","28,350.0","27,324.0","10.20M","2.71%"
"06/28/2021","28,443.0","28,536.0","29,002.0","28,256.0","10.13M","0.66%"
"06/29/2021","27,790.0","28,256.0","28,350.0","27,510.0","12.78M","-2.30%"
"06/30/2021","26,858.0","27,977.0","28,070.0","26,858.0","11.70M","-3.35%"
"07/01/2021","26,391.0","27,044.0","27,044.0","25,272.0","22.79M","-1.74%"
"07/02/2021","26,205.0","26,578.0","27,324.0","26,205.0","9.79M","-0.70%"
"07/05/2021","25,179.0","26,298.0","26,484.0","24,899.0","15.18M","-3.92%"
"07/06/2021","23,314.0","25,459.0","26,111.0","23,314.0","16.36M","-7.41%"
"07/07/2021","23,221.0","23,314.0","23,594.0","22,381.0","12.45M","-0.40%"
"07/08/2021","23,127.0","23,127.0","23,687.0","22,754.0","7.80M","-0.40%"
"07/09/2021","21,822.0","22,754.0","23,407.0","21,449.0","14.30M","-5.64%"
"07/12/2021","22,661.0","21,822.0","22,754.0","21,169.0","18.14M","3.84%"
"07/13/2021","23,967.0","22,848.0","23,967.0","22,661.0","10.30M","5.76%"
"07/14/2021","23,594.0","23,967.0","24,340.0","23,127.0","10.85M","-1.56%"
"07/15/2021","23,594.0","23,594.0","23,967.0","22,848.0","10.55M","0.00%"
"07/16/2021","23,127.0","23,594.0","23,967.0","23,127.0","7.93M","-1.98%"
"07/19/2021","20,982.0","23,034.0","23,034.0","20,982.0","16.47M","-9.27%"
"07/20/2021","21,262.0","20,423.0","21,355.0","19,584.0","12.90M","1.33%"
"07/21/2021","21,169.0","21,449.0","21,728.0","21,169.0","5.71M","-0.44%"
"07/22/2021","22,381.0","21,449.0","22,661.0","21,449.0","10.90M","5.73%"
"07/23/2021","21,635.0","22,475.0","22,661.0","21,635.0","9.84M","-3.33%"
"07/26/2021","22,008.0","21,449.0","22,195.0","21,262.0","6.28M","1.72%"
"07/27/2021","22,661.0","22,101.0","23,127.0","22,008.0","10.61M","2.97%"
"07/28/2021","22,475.0","22,661.0","23,034.0","22,381.0","5.30M","-0.82%"
"07/29/2021","23,314.0","22,475.0","23,314.0","22,381.0","9.14M","3.73%"
"07/30/2021","23,127.0","23,407.0","23,687.0","23,034.0","7.73M","-0.80%"
"08/02/2021","23,221.0","23,314.0","23,687.0","22,848.0","8.30M","0.41%"
"08/03/2021","23,221.0","23,127.0","23,221.0","22,568.0","11.26M","0.00%"
"08/04/2021","23,687.0","23,034.0","24,060.0","23,034.0","13.57M","2.01%"
"08/05/2021","23,687.0","23,407.0","23,780.0","23,221.0","9.04M","0.00%"
"08/06/2021","23,594.0","23,687.0","24,340.0","23,594.0","12.26M","-0.39%"
"08/09/2021","23,594.0","23,407.0","23,873.0","23,127.0","12.11M","0.00%"
"08/10/2021","25,365.0","23,594.0","25,365.0","23,407.0","23.15M","7.51%"
"08/11/2021","24,899.0","25,459.0","25,832.0","24,806.0","12.31M","-1.84%"
"08/12/2021","24,713.0","25,179.0","25,272.0","24,713.0","9.96M","-0.75%"
"08/13/2021","24,433.0","24,713.0","24,713.0","23,500.0","19.06M","-1.13%"
"08/16/2021","24,340.0","24,433.0","24,992.0","24,153.0","10.33M","-0.38%"
"08/17/2021","24,992.0","24,246.0","25,179.0","24,246.0","14.58M","2.68%"
